number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_ff,params_d_model,params_decoder_dim1,params_decoder_dim2,params_decoder_dim3,params_dropout,params_learning_rate,params_num_heads,params_num_layers,state
31,0.4676106491809928,2026-01-16 12:44:30.858238,2026-01-16 13:00:19.458838,0 days 00:15:48.600600,128,512,128,1024,1024,256,0.10002882272791178,0.0001090820933990462,16,7,COMPLETE
32,0.4469410968150165,2026-01-16 13:00:19.460541,2026-01-16 13:12:05.265970,0 days 00:11:45.805429,128,512,128,1024,1024,256,0.12048068344938659,6.716742019018404e-05,16,7,COMPLETE
33,0.44196084187261575,2026-01-16 13:12:05.267318,2026-01-16 13:22:21.438631,0 days 00:10:16.171313,64,512,128,1024,1024,256,0.15565741181344267,5.248551342216564e-05,16,9,COMPLETE
34,0.43172708990338404,2026-01-16 13:22:21.440081,2026-01-16 13:29:09.716143,0 days 00:06:48.276062,64,256,128,1024,1024,256,0.11942077673454662,0.0001378333601354884,16,8,COMPLETE
35,0.4682150685596548,2026-01-16 13:29:09.717858,2026-01-16 13:44:20.974251,0 days 00:15:11.256393,32,512,128,1024,1024,512,0.10023505368960033,8.009696895388374e-05,16,9,COMPLETE
36,0.46124951711259365,2026-01-16 13:44:20.975854,2026-01-16 13:56:30.178654,0 days 00:12:09.202800,64,256,128,512,256,256,0.13771253314024123,0.00011853266695667203,4,6,COMPLETE
37,0.31046045198505645,2026-01-16 13:56:30.180196,2026-01-16 14:01:06.428517,0 days 00:04:36.248321,128,512,64,2048,512,512,0.230401522210348,2.9790011477276307e-05,16,4,PRUNED
38,0.35491192328573207,2026-01-16 14:01:06.430269,2026-01-16 14:05:55.382327,0 days 00:04:48.952058,64,256,128,1024,256,128,0.16373652003367486,4.932052657219789e-05,16,5,PRUNED
39,0.3399605375683258,2026-01-16 14:05:55.383722,2026-01-16 14:10:58.266105,0 days 00:05:02.882383,64,512,64,512,1024,256,0.1803005359373001,7.587909962971112e-05,16,10,PRUNED
40,0.2953133697630438,2026-01-16 14:10:58.267880,2026-01-16 14:15:47.052142,0 days 00:04:48.784262,128,1024,128,1024,1024,512,0.14793016260981515,0.0004063291974928399,16,8,PRUNED
41,0.4650087780548907,2026-01-16 14:15:47.053971,2026-01-16 14:31:00.476954,0 days 00:15:13.422983,32,512,128,1024,1024,512,0.10103706297757546,9.781196971865026e-05,16,9,COMPLETE
42,0.44447583500634635,2026-01-16 14:31:00.478270,2026-01-16 14:38:56.435655,0 days 00:07:55.957385,32,512,128,1024,1024,512,0.1139273907084359,8.234338869256379e-05,16,9,COMPLETE
43,0.4461857939792673,2026-01-16 14:38:56.437111,2026-01-16 14:49:39.097742,0 days 00:10:42.660631,32,512,128,1024,1024,512,0.1182490512382591,5.167337080750273e-05,16,8,COMPLETE
44,0.44895736003049924,2026-01-16 14:49:39.099988,2026-01-16 14:59:38.800065,0 days 00:09:59.700077,32,512,128,1024,1024,512,0.12856333325034613,0.0001763600323407104,16,9,COMPLETE
45,0.2799101414582684,2026-01-16 14:59:38.801851,2026-01-16 15:06:03.793755,0 days 00:06:24.991904,32,512,256,512,1024,512,0.10076051160569949,0.00023424247033167233,4,10,PRUNED
46,0.32727114642586186,2026-01-16 15:06:03.795519,2026-01-16 15:15:15.302831,0 days 00:09:11.507312,32,256,128,1024,512,128,0.26523160719573613,0.00012158052909611933,16,8,PRUNED
47,0.3463073469083834,2026-01-16 15:15:15.304172,2026-01-16 15:20:37.072668,0 days 00:05:21.768496,64,512,256,2048,256,256,0.11209415448636872,3.5175228991748396e-05,16,8,PRUNED
48,0.46160048476806126,2026-01-16 15:20:37.074369,2026-01-16 15:31:00.373006,0 days 00:10:23.298637,128,512,64,1024,1024,512,0.13756284656662182,7.42708753087863e-05,16,9,COMPLETE
49,0.373477042371959,2026-01-16 15:31:00.375078,2026-01-16 15:37:04.890889,0 days 00:06:04.515811,32,512,256,512,1024,128,0.16567704026520574,2.121016658087673e-05,4,7,PRUNED
